total,CALL_TIME
10,2018-04-11
9,2018-08-23
14,2018-05-15
5,2018-03-16
10,2018-03-12
13,2018-05-03
17,2018-06-22
5,2018-10-10
5,2018-11-13
9,2018-02-27
4,2018-01-19
4,2018-08-24
12,2018-02-23
6,2018-09-27
8,2018-10-23
10,2018-11-26
4,2018-07-21
6,2018-09-15
4,2018-05-25
4,2018-04-25
8,2018-08-04
7,2018-08-02
8,2018-11-12
8,2018-07-28
2,2018-10-31
4,2018-05-31
14,2018-08-09
4,2018-07-20
19,2018-08-29
5,2018-10-07
4,2018-10-25
11,2018-07-29
3,2018-06-10
7,2018-03-30
15,2018-09-12
10,2018-11-23
8,2018-11-11
23,2018-02-02
7,2018-06-04
17,2018-01-10
5,2018-01-26
7,2018-02-07
10,2018-03-28
11,2018-06-25
8,2018-01-01
15,2018-05-21
35,2018-03-15
7,2018-01-28
12,2018-04-28
7,2018-06-09
13,2018-11-02
7,2018-03-07
8,2018-08-30
13,2018-02-26
7,2018-10-26
14,2018-09-29
10,2018-06-03
21,2018-01-12
4,2018-02-17
5,2018-04-18
4,2018-06-30
12,2018-02-06
6,2018-03-21
7,2018-08-13
10,2018-07-09
7,2018-06-11
3,2018-11-27
9,2018-10-29
3,2018-02-15
13,2018-06-08
7,2018-02-09
10,2018-08-14
10,2018-10-03
6,2018-01-16
11,2018-04-14
6,2018-07-07
4,2018-08-18
16,2018-09-10
6,2018-11-17
5,2018-05-16
9,2018-02-16
5,2018-09-02
2,2018-01-20
6,2018-06-23
2,2018-10-13
6,2018-02-05
2,2018-01-25
12,2018-10-15
9,2018-03-09
5,2018-05-29
12,2018-07-01
11,2018-11-05
11,2018-03-03
5,2018-04-13
1,2018-06-18
9,2018-08-07
6,2018-06-15
13,2018-10-24
5,2018-01-04
5,2018-02-18
