TOTAL,TIME
3,2018-04-11
5,2018-08-23
2,2018-03-16
3,2018-05-15
6,2018-03-12
8,2018-05-03
1,2018-06-22
10,2018-10-10
3,2018-01-19
2,2018-02-27
26,2018-08-24
2,2018-02-23
53,2018-10-23
8,2018-09-27
2,2018-07-21
1,2018-09-15
7,2018-05-25
2,2018-04-25
2,2018-08-02
2,2018-08-04
5,2018-07-28
3,2018-10-31
2,2018-05-31
15,2018-10-25
9,2018-07-20
2,2018-10-07
2,2018-08-29
1,2018-08-09
2,2018-06-10
2,2018-07-29
1,2018-03-30
2,2018-09-12
2,2018-02-02
5,2018-06-04
7,2018-01-10
3,2018-01-26
2,2018-02-07
2,2018-03-28
2,2018-06-25
2,2018-01-01
3,2018-05-21
1,2018-01-28
1,2018-03-15
2,2018-04-28
4,2018-06-09
2,2018-03-07
2,2018-08-30
2,2018-02-26
6,2018-10-26
2,2018-09-29
2,2018-06-03
3,2018-01-12
2,2018-02-17
2,2018-04-18
1,2018-06-30
2,2018-02-06
2,2018-03-21
3,2018-08-13
3,2018-06-11
2,2018-07-09
3,2018-03-05
10,2018-10-29
2,2018-02-15
29,2018-06-08
2,2018-02-09
14,2018-08-14
4,2018-10-03
11,2018-01-16
14,2018-04-14
14,2018-08-18
1,2018-07-07
2,2018-09-10
14,2018-05-16
4,2018-02-16
2,2018-09-02
6,2018-01-20
2,2018-06-23
1,2018-10-13
4,2018-01-25
3,2018-02-05
7,2018-10-15
2,2018-03-09
2,2018-05-29
1,2018-07-01
2,2018-03-03
3,2018-04-13
2,2018-06-18
2,2018-06-15
4,2018-08-07
2,2018-10-24
4,2018-01-04
3,2018-02-18
22,2018-05-18
3,2018-05-06
9,2018-08-20
2,2018-06-21
5,2018-01-22
3,2018-01-17
9,2018-02-22
4,2018-05-27
